,signal_time,deviation,max_loss,target_percent,flip,LTC 1,LTC 5,LTC 15,LTC 60,ETH 1,ETH 5,ETH 15,ETH 60,BTC 1,BTC 5,BTC 15,BTC 60,BCH 1,BCH 5,BCH 15,BCH 60
26,326.0,1.1604,0.007,0.285,True,98.0,110.0075539879003,104.90653629675084,100.0,98.0,98.0,103.04918612859498,100.0,98.0,113.54299062112375,126.74874246986823,98.0,98.0,98.0,112.2417872139436,100.0
27,169.0,1.1268,0.283,0.108,True,98.0,127.8529005575608,102.29407929855759,98.0,98.0,98.0,98.0,98.0,98.0,100.7629523005644,103.31191379505728,98.0,98.0,98.0,98.0,98.0
28,163.0,3.5460000000000003,0.166,0.035,True,108.27039803040248,110.99005501817621,98.0,100.0,101.42034779874433,108.57191966012921,100.0,100.0,158.23462063134323,98.0,107.07222254430397,100.0,103.0313978467855,112.83938152410504,98.0,100.0
29,924.0,3.8968000000000003,0.077,0.228,True,106.25837424097466,108.9822777777778,100.0,100.0,109.95051119294916,98.0,100.0,100.0,98.0,100.0,100.0,100.0,117.26387626944043,98.0,100.0,100.0
30,287.0,2.5924,0.18,0.034,True,98.0,116.98883158825414,116.5032256182921,100.0,98.0,98.0,98.0,100.0,98.0,110.07030871130111,118.54605126632252,100.0,98.0,98.0,98.0,100.0
31,645.0,3.4008000000000003,0.096,0.29,True,123.61126001675447,117.80570509069632,100.0,100.0,102.37164355665016,98.0,100.0,100.0,147.11952854085447,102.8949973237871,100.0,100.0,124.51133356888802,100.91138494579094,100.0,100.0
32,424.0,1.9964000000000002,0.135,0.225,False,98.0,121.94147578437787,98.0,100.0,98.0,105.189378511938,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0
33,351.0,0.8160000000000001,0.115,0.154,False,98.0,98.0,109.0672042471318,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,98.0
34,22.0,3.2988,0.132,0.247,True,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
35,660.0,3.0264,0.102,0.013,True,110.51940279968882,121.47870864461046,100.0,100.0,108.91500384671406,98.0,100.0,100.0,147.66015303270657,103.35669042392514,100.0,100.0,111.4039920825704,100.91138494579094,100.0,100.0
36,405.0,3.6128,0.233,0.255,True,131.69326059620892,98.0,109.86142021720968,100.0,98.0,100.52928802588998,100.0,100.0,153.88091046540234,117.80031724499594,100.0,100.0,100.02004967720131,101.65160462649484,102.2845169474551,100.0
37,641.0,1.4288,0.208,0.126,False,98.0,101.8943785563491,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0
38,177.0,2.9396,0.258,0.105,False,103.12902164658105,98.0,98.0,100.90256410256409,98.0,98.0,98.0,98.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0
39,502.0,0.8048000000000001,0.094,0.105,True,109.83587622482145,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,105.49993257218175,116.61630597156226,98.0,98.0,98.0,98.0,100.0
40,236.0,2.958,0.041,0.15,False,103.13693184856496,98.0,98.0,100.0,103.62779926672016,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0
41,24.0,3.0004,0.29,0.249,True,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
42,201.0,1.8568,0.285,0.027,False,98.0,98.0,104.69147444240194,101.69000981962891,98.0,98.0,98.0,98.0,98.0,98.0,98.0,117.29553093952673,98.0,98.0,98.0,98.0
43,518.0,2.8872,0.098,0.208,True,98.0,112.12683843590247,98.0,100.0,100.9186219607621,98.0,100.0,100.0,139.98017448121624,117.55369924134241,101.46139270769844,100.0,98.0,102.95960241840702,98.0,100.0
44,970.0,0.8112,0.016,0.059,True,126.51426982839851,101.12921046142745,98.0,100.0,98.0,103.32434424699325,98.0,100.0,114.23226612561965,132.06006975083315,98.0,100.0,98.0,100.93648102192152,98.0,100.0
45,757.0,1.5376,0.204,0.281,True,120.59738304498146,105.36623143173857,100.0,100.0,98.0,102.66162738352924,98.0,100.0,106.7248474845211,127.72890574637084,98.0,100.0,98.0,98.0,98.0,100.0
46,48.0,2.3772,0.171,0.052,True,98.0,98.0,111.63012742250518,112.2380821917808,98.0,98.0,104.6635763638143,98.0,98.0,117.16942395565167,136.21087533688384,117.58119718363234,98.0,98.0,98.0,100.17303644823194
47,729.0,2.23,0.063,0.292,False,98.0,118.5773849794859,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0
48,547.0,3.6632000000000002,0.244,0.223,True,119.5125339184363,119.3742855448832,100.0,100.0,105.39889595252163,98.0,100.0,100.0,144.4421407082341,98.0,100.0,100.0,124.96507076543209,102.12930762564221,98.0,100.0
49,880.0,3.2328,0.03,0.268,False,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,101.74419611669545,100.0,98.0,98.0,98.0,100.0
50,702.0,2.7488,0.155,0.087,True,107.8754600434022,113.49064053593061,100.0,100.0,98.0,98.0,100.0,100.0,119.47651887082318,117.76510153356753,100.0,100.0,108.57197995725674,104.3222406850197,100.0,100.0
51,739.0,2.4724,0.095,0.277,True,108.12246251696385,116.98646488587534,100.0,100.0,98.0,98.0,100.0,100.0,107.24003325527873,115.71658815502512,100.0,100.0,98.0,101.86159189739584,98.0,100.0
52,442.0,3.1268000000000002,0.223,0.281,True,113.09071732165245,98.0,102.26431513634707,100.0,98.0,98.0,100.0,100.0,137.78606635115574,118.28609962012949,100.0,100.0,101.80801418580887,105.8393938220212,98.0,100.0
53,848.0,3.8880000000000003,0.266,0.032,True,110.78619081553101,109.32015,100.0,100.0,109.95285415688986,98.0,100.0,100.0,103.32449498058065,100.0,100.0,100.0,125.37977650115324,100.81727882346814,100.0,100.0
54,647.0,3.7172,0.045,0.25,False,98.0,98.0,100.30848617421056,100.0,98.0,98.0,98.0,100.0,98.0,100.0,100.0,100.0,98.0,98.0,98.0,100.0
55,43.0,3.5372000000000003,0.045,0.219,False,100.0,100.0,100.0,100.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,100.0,100.0,100.0
56,400.0,1.3664,0.262,0.095,False,98.0,132.6810424061728,98.0,98.0,98.0,98.0,98.0,98.0,98.0,105.09452903545544,98.0,100.0,98.0,106.25553712618604,98.0,100.0
57,599.0,1.1044,0.182,0.123,False,98.0,98.0,98.0,100.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0
58,367.0,1.6628,0.028,0.283,False,98.0,129.21005653142345,98.0,100.0,98.0,98.0,98.0,100.0,98.0,102.1375796346572,98.0,100.0,103.34457111230931,98.0,98.0,100.0
59,491.0,1.832,0.208,0.14,True,110.75750198479909,110.37108583354048,98.0,100.0,98.0,98.0,98.0,100.0,98.0,106.15104803271359,108.68577073469363,100.0,98.0,98.0,100.52460078596201,100.0
60,286.0,1.4656,0.035,0.091,True,98.0,105.66779243527301,101.23792086369227,100.0,98.0,98.0,98.0,100.0,98.0,122.69715191241434,125.20763205091666,98.0,98.0,104.49485649165301,107.68309066268523,100.0
61,159.0,1.7988000000000002,0.263,0.118,False,101.75258608945425,98.0,101.20542703831593,98.0,98.0,98.0,98.0,98.0,101.1240152106499,98.0,98.0,113.10041952605343,98.0,98.0,98.0,98.0
62,63.0,3.1492,0.278,0.08,False,98.0,98.0,105.30656691699151,100.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,100.0,104.25613638842547,98.0,98.0,98.0
63,748.0,3.798,0.218,0.225,True,123.21309069567037,113.63460758760499,100.0,100.0,111.04100569260274,98.0,100.0,100.0,123.35191700175989,100.0,100.0,100.0,122.38386192063498,103.86183118613289,100.0,100.0
64,17.0,2.468,0.045,0.052,False,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
65,163.0,3.0140000000000002,0.273,0.093,True,98.0,121.52283804602231,110.03229726106547,100.0,98.0,104.5554868454915,100.85946216596344,100.0,98.0,128.44902950869175,118.32939558467491,100.0,98.0,106.83151616495086,103.68620731175588,100.0
66,328.0,0.9216000000000001,0.238,0.259,False,104.41146402326397,98.0,108.72747480907735,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,98.0
67,673.0,3.5972,0.091,0.282,False,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,100.0,100.0,100.0,98.0,98.0,98.0,100.0
68,773.0,3.0156,0.097,0.013,False,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0
69,860.0,1.7028,0.086,0.173,True,114.31014124119042,112.29093239494333,100.0,100.0,98.0,100.24264951564308,100.0,100.0,106.63157889215726,121.71109496773354,98.0,100.0,98.0,102.12459606115671,100.0,100.0
70,570.0,2.7804,0.158,0.264,True,113.25951712123646,124.3818858858859,98.0,100.0,100.53336748741513,98.0,100.0,100.0,112.81700606858185,117.80031724499594,98.0,100.0,98.0,105.11297346998244,98.0,100.0
71,111.0,0.8592000000000001,0.009,0.133,False,98.0,98.0,98.0,100.43065897239295,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,103.01372421664261,98.0,98.0
72,37.0,1.9224,0.054,0.133,False,98.0,101.79904514419269,98.0,118.90058890542753,98.0,98.0,98.0,98.0,111.6097162126737,102.5861843452446,98.0,98.0,98.0,101.63036034834872,98.0,98.0
73,628.0,3.7988000000000004,0.173,0.115,False,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,100.0,98.0,100.0,98.0,98.0,98.0,100.0
74,156.0,2.1432,0.241,0.243,True,98.0,103.23678581097208,105.14295601260923,100.0,98.0,98.0,103.04359179978272,100.0,98.0,101.0408906160634,111.03970130580248,98.0,98.0,98.0,98.0,98.0
75,350.0,0.9384,0.119,0.082,True,98.0,110.8442068873699,103.22736609360513,100.0,98.0,98.0,104.27065791730698,100.0,98.0,112.33099480723122,129.28029857526852,98.0,98.0,98.0,108.53094986986346,100.0
76,180.0,3.7948000000000004,0.117,0.282,True,110.97142652385422,107.87028861240749,103.70342977134857,100.0,98.0,100.75207346958196,100.0,100.0,144.8341726476495,98.0,98.0,100.0,111.21116545930727,108.69399789174287,98.0,100.0
77,586.0,3.2652,0.058,0.108,False,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0
78,763.0,3.7908000000000004,0.084,0.295,True,122.99498947854467,115.02893214097843,100.0,100.0,111.04882474555397,98.0,100.0,100.0,124.16333096913266,100.0,100.0,100.0,122.98905832229886,103.86183118613289,100.0,100.0
79,409.0,2.4996,0.22,0.194,False,98.0,106.0764052443557,102.46314767902157,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0
80,378.0,2.7084,0.006,0.058,False,98.0,109.79282685042016,106.89086656888408,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0
81,736.0,0.9656,0.17,0.15,False,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0
82,824.0,1.1692,0.295,0.073,False,98.0,105.31294320074362,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0
83,780.0,3.7528,0.111,0.045,False,98.0,98.0,100.30848617421056,100.0,98.0,98.0,98.0,100.0,98.0,100.0,100.0,100.0,98.0,98.0,98.0,100.0
84,665.0,1.6744,0.177,0.017,True,127.59145375371763,104.95364693648324,98.0,100.0,98.0,103.18429284919145,98.0,100.0,104.65939792032911,130.01071521034277,98.0,100.0,98.0,98.0,98.0,100.0
